# run; L1; L2; L3; mos1; mos2; col_h; col_v; Var;
-1; 1; 1; 1; 40; 40; 60; 90; -;       # Initial condition
0;1.0,3.399073888843719;1.5;1.5;60;60;60;60;L1;
0;1.059976847221093;0.8,3.839097041622626;1.5;60.0;60.0;60.0;60.0;L2;
0;1.059976847221093;1.711729112486788;0.75,2.25;60.0;60.0;60.0;60.0;L3;
0;1.059976847221093;1.711729112486788;1.3875;30.0,90.0;60.0;60.0;60.0;mos1;
0;1.059976847221093;1.711729112486788;1.3875;57.0;30.0,90.0;60.0;60.0;mos2;
0;1.059976847221093;1.711729112486788;1.3875;57.0;57.0;10.0,90.0;60.0;col_h;
0;1.059976847221093;1.711729112486788;1.3875;57.0;57.0;60.0;10.0,90.0;col_v;
1;0.5,3.187344776356931;1.711729112486788;1.3875;57.0;57.0;60.0;68.0;L1;
1;0.7687344776356931;0.8,4.130339411208026;1.3875;57.0;57.0;60.0;68.0;L2;
1;0.7687344776356931;1.9656187939228094;0.75,2.25;57.0;57.0;60.0;68.0;L3;
1;0.7687344776356931;1.9656187939228094;1.2375;30.0,90.0;57.0;60.0;68.0;mos1;
1;0.7687344776356931;1.9656187939228094;1.2375;51.0;30.0,90.0;60.0;68.0;mos2;
1;0.7687344776356931;1.9656187939228094;1.2375;51.0;52.5;10.0,90.0;68.0;col_h;
1;0.7687344776356931;1.9656187939228094;1.2375;51.0;52.5;58.0;10.0,90.0;col_v;
2;0.5,2.9334550949209097;1.9656187939228094;1.2375;51.0;52.5;58.0;76.0;L1;
2;0.5;0.8,4.399073888843719;1.2375;51.0;52.5;58.0;76.0;L2;
2;0.5;2.4195832499796737;0.75,2.25;51.0;52.5;58.0;76.0;L3;
2;0.5;2.4195832499796737;1.0875;30.0,90.0;52.5;58.0;76.0;mos1;
2;0.5;2.4195832499796737;1.0875;45.0;30.0,90.0;58.0;76.0;mos2;
2;0.5;2.4195832499796737;1.0875;45.0;49.5;10.0,90.0;76.0;col_h;
2;0.5;2.4195832499796737;1.0875;45.0;49.5;56.0;10.0,90.0;col_v;
3;0.5,2.4794906388640454;2.4195832499796737;1.0875;45.0;49.5;56.0;82.0;L1;
3;0.5;0.8,4.399073888843719;1.0875;45.0;49.5;56.0;82.0;L2;
3;0.5;2.7794906388640452;0.75,2.25;45.0;49.5;56.0;82.0;L3;
3;0.5;2.7794906388640452;0.9;30.0,90.0;49.5;56.0;82.0;mos1;
3;0.5;2.7794906388640452;0.9;39.0;30.0,90.0;56.0;82.0;mos2;
3;0.5;2.7794906388640452;0.9;39.0;48.0;10.0,90.0;82.0;col_h;
3;0.5;2.7794906388640452;0.9;39.0;48.0;58.0;10.0,90.0;col_v;